"content","count","phrase_id","script_id"
"Every morning, she takes a quiet walk with her dog along the path that winds through the softly whispering woods.","2","script-0006-p2","script-0006"
"He always starts his day with a cup of black coffee and a fresh pastry while watching the sunrise quietly.","3","script-0006-p3","script-0006"
"The quaint bookshop on the corner welcomes a steady stream of readers eager to lose themselves in new adventures daily.","1","script-0006-p1","script-0006"
"This year, their vacation plans include a trip to Greece to explore ancient ruins and relax by the crystal-clear seas.","5","script-0006-p5","script-0006"
"During the storm, lightning painted the sky with brilliant streaks, illuminating the dark clouds and rumbling thunder overhead dramatically.","4","script-0006-p4","script-0006"
"Busy bees buzz energetically around the garden, pollinating the vibrant flowers that bloom profusely throughout the warm, sunny days.","9","script-0006-p9","script-0006"
"The local park becomes a hub of activity on weekends, filled with families enjoying picnics and children's delighted laughter.","8","script-0006-p8","script-0006"
"In her studio, she meticulously paints landscapes that capture the tranquil beauty and subtle colors of the natural world.","7","script-0006-p7","script-0006"
"The old clock tower in the town center reliably chimes every hour, marking time with its deep, resonant tones.","6","script-0006-p6","script-0006"
"They ended their day watching the sunset from the hill, enjoying the peaceful close and the sky's changing colors.","10","script-0006-p10","script-0006"
"The garden was alive with the buzz of bees and the sweet aroma of blooming flowers, inviting visitors to linger.","3","script-0002-p3","script-0002"
"In the quiet library, students gathered around tables, their whispers merging with the rustle of pages and clicking of keyboards.","2","script-0002-p2","script-0002"
"The sun dipped below the horizon, casting a golden glow over the city as people hurried to finish their day.","1","script-0002-p1","script-0002"
"The old bookstore smelled of musty pages and history, each book a portal to another time and place, waiting to be explored.","10","script-0002-p10","script-0002"
"The chef presented the dish with pride, its colors vibrant and inviting, promising a feast for both eyes and palate.","8","script-0002-p8","script-0002"
"Early morning joggers enjoyed the cool breeze and the empty streets, their footsteps echoing in the quiet of dawn.","7","script-0002-p7","script-0002"
"In the workshop, the sound of tools and the smell of wood shavings told stories of craftsmanship and dedication.","9","script-0002-p9","script-0002"
"The market was bustling with vendors shouting prices, shoppers bargaining, and the scent of fresh produce filling the air.","5","script-0002-p5","script-0002"
"On the crowded train, strangers shared a moment of laughter over a child’s innocent antics, creating a brief bond.","6","script-0002-p6","script-0002"
"As the storm cleared, a vibrant rainbow arched across the sky, promising brighter days and a moment of peace.","4","script-0002-p4","script-0002"
"The concert hall resonated with the harmonious blend of violins and cellos, captivating the audience in a spell of musical bliss.","1","script-0003-p1","script-0003"
"The hikers reached the summit just as the sun set, the view transforming into a breathtaking panorama of fiery skies and distant mountains.","4","script-0003-p4","script-0003"
"Early risers at the beach watched the sunrise, the sky a canvas of pink and orange hues, reflecting on gentle waves.","2","script-0003-p2","script-0003"
"In the bustling café, baristas crafted perfect cups of coffee, the aroma mingling with the sound of frothing milk and casual conversations.","3","script-0003-p3","script-0003"
"At the weekend market, artisans displayed their handmade goods, the vibrant colors and unique designs attracting a crowd of eager shoppers.","8","script-0003-p8","script-0003"
"The artist's studio was cluttered with canvases and paints, each stroke on the canvas a step towards the realization of a vision.","6","script-0003-p6","script-0003"
"The old man sat by the riverside, feeding the ducks and watching the water reflect the ever-changing sky above.","9","script-0003-p9","script-0003"
"In the dimly lit jazz club, the band's lively performance brought patrons to their feet, dancing to the rhythm of the night.","10","script-0003-p10","script-0003"
"During the quiet midday in the park, a lone saxophonist played soulful tunes, his music floating through the rows of old trees.","7","script-0003-p7","script-0003"
"On the busy street, a mime entertained passersby with his silent art, drawing smiles and curious glances from the crowd.","5","script-0003-p5","script-0003"
"The aroma of freshly baked bread wafted through the small bakery, drawing locals in with the promise of warmth and comfort.","2","script-0004-p2","script-0004"
"As the lecture ended, students gathered their belongings, buzzing with energy and discussing the new concepts they had just learned.","3","script-0004-p3","script-0004"
"In the cool of the evening, families spread blankets on the grassy hill to watch the outdoor movie, stars twinkling above.","6","script-0004-p6","script-0004"
"The antique shop was a treasure trove of history, each item holding stories from the past, eagerly shared by the knowledgeable owner.","7","script-0004-p7","script-0004"
"The narrow alley was lit by strings of small lights, creating a magical pathway that invited curious explorers into its depths.","1","script-0004-p1","script-0004"
"The small town celebrated its annual festival with music, games, and homemade food, strengthening community bonds and creating cherished memories.","4","script-0004-p4","script-0004"
"Runners lined up at the starting line, their breath visible in the chilly morning air, anticipating the challenging race ahead.","8","script-0004-p8","script-0004"
"The gentle hum of the spinning pottery wheel blended with the soft, methodical movements of the potter shaping his latest creation.","5","script-0004-p5","script-0004"
"The cozy book club met in the corner of the local library, members animatedly discussing the twists and turns of their latest read.","10","script-0004-p10","script-0004"
"The wildlife photographer waited patiently in the hide, camera poised to capture the rare bird as it appeared on the horizon.","9","script-0004-p9","script-0004"
"The forest trail was blanketed in autumn leaves, their crunch underfoot a constant companion to the hikers exploring the serene path.","1","script-0005-p1","script-0005"
"The village square came alive at dusk, children playing tag while parents chatted amiably, enjoying the cool evening breeze.","3","script-0005-p3","script-0005"
"In the art gallery, viewers moved from painting to painting, deeply engrossed in the stories that each brushstroke told.","4","script-0005-p4","script-0005"
"The small, rustic cabin by the lake served as a perfect retreat for the writer, her only interruption the call of the loons.","8","script-0005-p8","script-0005"
"The amateur astronomer set up his telescope in the backyard, the night sky a canvas for his passion and curiosity about the universe.","10","script-0005-p10","script-0005"
"The moonlit beach was a haven for late-night wanderers, the waves whispering secrets to the shore under a star-studded sky.","6","script-0005-p6","script-0005"
"On the city rooftop, friends gathered for a sunset barbecue, the skyline offering a stunning backdrop to their laughter and conversations.","7","script-0005-p7","script-0005"
"The local farmers' market bustled with activity as vendors proudly displayed the fruits of their labor under colorful canopies.","2","script-0005-p2","script-0005"
"The community garden was a patchwork of vibrant colors and fragrances, where neighbors shared both seeds and stories under the afternoon sun.","5","script-0005-p5","script-0005"
"The school playground echoed with the joyful shouts of children during recess, a lively break from the day's lessons.","9","script-0005-p9","script-0005"
